Organization,Date of award,Report due,Status,amount number,amount note,Type,Geog ,Geog Note,Thematic area,"Cost effectiveness, etc.",Beneficiary level indicators,Organizational level indicators,Assessment of M&E Capacity,M&E Capacity Note,Indicators met?,Recommended indicators,
Accion,3/17/2016,04/30/2016 (interim); 04/20/2017 (final),Report in file,2000000,"1000000 PRI towards capital lending in 2015, 500000 grant for operational support in 2015-2016, 500000 grant to loan pool in 2015-16",PRI: PRI; Grant: Operating support and loan pool funds,CO & beyond,70% of CO activities in 7 county area,FES & CED,,# loans issued to CO businesses*; # loans going to disadvantaged groups*; # jobs created/sustained*; # loans goint to low-income w/ 2+ family members*; % of recipients with credit score increase; avg loan size; #/% recipients with children; #/% recipients with young children; #/% recipients low income with children; #/% veteran recipients; #/% recipients with disability,Hiring/recruitment; expansion of Presto loan in 2015;,Strong,also with upcoming participation in a larger Kellogg funded evaluation,Strong (All preset indicators met),Total value of loans dispersed in the period; institutional updates associated with operating support funds,
Aims Comm. College,10/20/2015,5/1/2016 (final),No report in folder; not in Drive,3730,"+6,000 expenditues",Grant: Grant,Greeley,,FES,,"# students registering for and completing course*; # sections of course offered*; # hours students completed*;  # tax returns completed w/total refunds, EITC refund totals*",,,,,,
AXL Charter,6/3/2015,1/31/2016 (final),Report in file,25000,,Grant: Business model improvement and financial sust,Aurora,,Youth Success,,PreK/K enrollment*; student demographics*; any additional indicators on program quality* (Report focuses on activities completed towards furthering goals in 3-year strategic plan),Staffing*; staff development activities*; description of collaborative activities*,Sufficient,,No indicator targets set beforehand,,
Book Trust,3/13/2015,8/31/2015 (final),Report in file,50000,,Grant: Grant,Denver,,Youth Success,,"# students, grades, and schools served*; Literacy outomces at schools served*; family engagement in reading; implementation fidelity",,Strong  ,,No indicator targets set beforehand,,Evaluation report seems to focus at higher level rather than the specific schools Piton was directing funding towards
Bradley Int'l school (FGS), ,, ,0,,,,, ,,,,,,,,
CEC Middle School (FGS),,, ,0,,,,,,,,,,,,,
Children's Hospital CO,2/25/2015,03/31/2016 (interim); 03/31/2017 (interim); 03/31/2018 (final) ,Report in file,375000,,Grant: Grant,Metro Denver  ,,School readiness,,N/A (Impact on beneficiaries will be assessed later through the trial to be conducted), Formation and meeting of parent advisory board; prototype development and initial testing,,,No indicator targets set beforehand,,
Civic Canopy,8/27/2015,9/30/2016 (final),No report in folder; not in Drive,85000,,Grant: Operating support and strategic business planning,Metro Denver,,Community Economic Development (& others),,,Completion of strategic business plan,,,,,This is largely about institutional change
Clayton Early Learning,1/30/2015,10/31/2015 (final),Report in file,8000,,Grant : Grant,Denver,,School readiness,,"An array of activities related to their advocacy work (e.g., # policies being advanced; # meetings with legislators; # materials produced)",Details on collaborative projects; ,Strong,,No indicator targets set beforehand,,Local matching funds for a grant from the Alliance for Early Success
Colorado Assoc of Black Prof Eng & Sci,7/17/2015,8/31/2016 (final),No report in folder; not in Drive,25000,,Grant: Continuing operational support,Metro Denver,,Youth Success,,"# of students enrolled in the Junior Engineers, Tomorrow's Scientists, Math Enrichment, and SAT/ACT College Prep programs*; retention rates for the same*","Lessons learned, programatic changes*; efforts towards building organizational capacity*",,,No indicator targets set beforehand,,
